조회연도,DIV_NM,ROWNUM,EMD_CD,EMD_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_SCLS_NM,SRCH_CNT
2025,전체,14,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,18
2025,전체,14,47170510,중구동,8718505,안동역급수탑,경북 안동시,역사유적지,18
2025,전체,16,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,16
2025,전체,17,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,12
2025,전체,18,47170510,중구동,2878511,북문시장,경북 안동시 퇴계로 126-0,시장,10
2025,전체,19,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,8
2025,현지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,1048
2025,현지인,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,826
2025,현지인,3,47170510,중구동,1155859,안동국제탈춤페스티벌,경북 안동시 육사로 239-0,기타문화관광지,652
2025,현지인,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,616
2025,현지인,5,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,212
2025,현지인,6,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,134
2025,현지인,7,47170510,중구동,11685719,중앙선1942안동역,경북 안동시 경동로 684-0,기타문화관광지,86
2025,현지인,8,47170510,중구동,1312936,안동임청각,경북 안동시 임청각길 63-0,역사유적지,72
2025,현지인,9,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,26
2025,현지인,10,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,22
2025,현지인,11,47170510,중구동,10935412,탈춤공원눈썰매장,경북 안동시 육사로 239-0,육상레저스포츠,16
2025,현지인,12,47170510,중구동,5391504,신세동벽화마을,경북 안동시 동부길 0-0,기타관광,12
2025,현지인,13,47170510,중구동,126,법흥사지칠층전탑,경북 안동시,역사유물,8
2025,현지인,14,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,6
2025,현지인,14,47170510,중구동,8718505,안동역급수탑,경북 안동시,역사유적지,6
2025,현지인,16,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,4
2025,현지인,16,47170510,중구동,2878511,북문시장,경북 안동시 퇴계로 126-0,시장,4
2025,현지인,18,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,2
2025,현지인,18,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,2
